Name,Course,Score
student_C,math,42
student_D,english,56
student_B,english,89
student_D,english,1
student_D,english,71
student_C,english,16
student_C,math,4
student_C,math,67
student_E,math,42
student_E,english,21
student_D,english,1
student_C,english,99
student_B,chinese,13
student_B,math,35
student_E,chinese,18
student_A,chinese,73
student_A,math,41
student_D,math,74
student_C,chinese,50
student_A,math,95
student_A,chinese,99
student_A,english,25
student_C,english,64
student_C,english,27
student_C,english,33
student_C,english,92
student_B,english,71
student_C,math,50
student_D,english,93
student_E,math,70
student_D,chinese,79
student_D,chinese,57
student_C,english,95
student_B,english,54
student_B,math,91
student_E,chinese,18
student_D,english,14
student_E,english,67
student_A,math,58
student_B,math,86
student_D,math,50
student_A,english,80
student_A,english,93
student_D,math,47
student_C,english,5
student_A,chinese,12
student_D,math,32
student_E,math,30
student_B,english,97
student_C,chinese,14
